tid,geometric,kinematic,curvature,indentation,speed,acceleration
316028254,0.8454,0.9904,0.8592,0.7956,0.994,0.0256
316028294,0.8187,0.9979,0.8223,0.7352,0.9965,0.9983
316028327,0.1369,0.0744,0.1261,0.1669,0.0897,0.0246
316028368,0.1165,0.839,0.0655,0.7341,0.8584,0.0931
316028373,0.1377,0.0741,0.125,0.1735,0.0887,0.0225
316028504,0.1034,0.0114,0.0932,0.4088,0.0219,0.0087
316028554,0.1207,0.0545,0.1186,0.1517,0.0555,0.691
316028561,0.1338,0.0751,0.125,0.1587,0.0887,0.0235
316028563,0.1265,0.0748,0.1253,0.0998,0.0908,0.0246
316028676,0.0852,0.0766,0.0516,0.1856,0.0897,0.0242
316028702,0.1269,0.0392,0.1091,0.7499,0.1003,0.009
316028703,0.1188,0.9765,0.1182,0.5425,0.9735,0.1585
316028711,0.1134,0.0855,0.0948,0.1473,0.0968,0.0381
316028722,0.1223,0.9968,0.1257,0.4475,0.9905,0.9983
316028723,0.8392,0.9972,0.7469,0.7543,0.9968,0.8488
316028739,0.801,0.9829,0.8382,0.7274,0.9788,0.9647
316028783,0.1273,0.073,0.123,0.1127,0.0883,0.0215
316028835,0.9182,0.0203,0.9433,0.3175,0.0286,0.0121
