tid,geometric,kinematic,curvature,indentation,speed,acceleration
1903032S11058,0.0521,0.1673,0.0513,0.0167,0.1954,0.0363
1903039S12052,0.0766,0.3089,0.0421,0.1086,0.4287,0.0581
1903039S12057,0.0675,0.13,0.0492,0.0511,0.1499,0.0595
1903039S16066,0.1341,0.4822,0.1163,0.1508,0.4373,0.8663
1903041S12057,0.0677,0.1279,0.0491,0.051,0.1495,0.0508
1903041S13051,0.095,0.8172,0.0505,0.1355,0.8647,0.051
1903041S18066,0.2007,0.9205,0.123,0.2624,0.9405,0.1478
1903042S12052,0.0781,0.572,0.2871,0.028,0.661,0.1726
1903042S16067,0.083,0.6677,0.0915,0.0422,0.7493,0.1433
1903060S13057,0.1053,0.1088,0.0808,0.5225,0.1582,0.0643
1903060S14056,0.1692,0.5728,0.0772,0.2322,0.6763,0.0379
1903068S14056,0.1469,0.5703,0.0772,0.1936,0.6604,0.0902
1903070S13057,0.1613,0.2588,0.0249,0.5626,0.2769,0.2473
1903080S12057,0.9286,0.2614,0.031,0.9136,0.2871,0.1624
1903142N16072,0.3547,0.3442,0.0518,0.9741,0.4102,0.053
1903153N11127,0.1452,0.1468,0.1026,0.1706,0.1664,0.3055
1903163N14072,0.0972,0.0977,0.0625,0.134,0.1156,0.03
1903176N22088,0.1846,0.1824,0.1242,0.2235,0.2159,0.1232
1903193N18087,0.0698,0.3411,0.0588,0.3593,0.3931,0.0927
1903195N21070,0.5495,0.4526,0.0782,0.8586,0.5076,0.1763
1903202N20292,0.1291,0.6444,0.0471,0.1867,0.7329,0.046
1903204N21087,0.2056,0.5422,0.1267,0.2855,0.6353,0.1073
1903208N16132,0.1031,0.1451,0.0994,0.1055,0.1752,0.0278
1903213N20087,0.1357,0.0747,0.1153,0.1537,0.1027,0.0663
1903217N20124,0.1665,0.1046,0.1231,0.1921,0.113,0.1346
1903218N12318,0.1513,0.2115,0.1039,0.1914,0.3097,0.0732
1903223N20126,0.0745,0.2159,0.0936,0.0183,0.2719,0.0123
1903230N23122,0.1871,0.1027,0.1232,0.2322,0.1339,0.0238
1903241N17085,0.1305,0.3757,0.1071,0.2906,0.3619,0.5173
1903241N19124,0.1216,0.334,0.0942,0.1458,0.1493,0.9564
1903244N20131,0.996,0.9959,0.996,0.3295,0.9962,0.1388
1903252N21288,0.0694,0.0996,0.0407,0.07,0.1103,0.0637
1903253N18120,0.108,0.0822,0.0986,0.1273,0.1001,0.0687
1903254N23089,0.0622,0.1333,0.0827,0.0927,0.1519,0.0681
1903255N23304,0.1302,0.2684,0.0701,0.1711,0.3961,0.02
1903262N21288,0.0982,0.0518,0.0455,0.1528,0.0906,0.0338
1903263N21133,0.1104,0.0994,0.0779,0.1404,0.0904,0.2348
1903269N23301,0.1257,0.963,0.0485,0.1796,0.969,0.4592
1903271N15118,0.1051,0.1291,0.1076,0.0983,0.1476,0.1945
1903274N18303,0.828,0.0414,0.9685,0.4259,0.0806,0.0168
1903277N22127,0.1602,0.1397,0.1007,0.1962,0.1789,0.2075
1903278N19086,0.7964,0.1544,0.9442,0.0894,0.1762,0.0493
1903278N26288,0.1227,0.1535,0.089,0.1484,0.1776,0.0496
1903281N22133,0.996,0.3668,0.996,0.8604,0.2945,0.8452
1903291N17126,0.1224,0.0899,0.105,0.1494,0.1127,0.0461
1903294N21288,0.1117,0.7517,0.0739,0.1512,0.8046,0.0284
1903298N16125,0.1238,0.1198,0.5712,0.0965,0.0866,0.518
1903301N13084,0.1168,0.1229,0.0476,0.1637,0.1551,0.0401
1903308N11087,0.1557,0.1942,0.1125,0.1907,0.2313,0.0977
1903309N09135,0.0463,0.82,0.036,0.0505,0.836,0.5603
1903317N14087,0.1402,0.1865,0.0857,0.1727,0.2693,0.0535
1903321N19323,0.1071,0.0135,0.0863,0.1432,0.0312,0.0301
1903329N10087,0.9999,0.7234,0.9999,0.227,0.7412,0.6312
1904042S14055,0.9877,0.5534,0.9879,0.91,0.3055,0.9793
1904046S13055,0.0812,0.1185,0.0682,0.0673,0.1376,0.0385
1904071S14059,0.1584,0.1373,0.0946,0.2037,0.1665,0.0597
1904081S13060,0.0488,0.1459,0.0805,0.3845,0.1594,0.0742
1904081S13420,0.128,0.1024,0.0913,0.1514,0.1183,0.0776
1904092S13068,0.0702,0.116,0.0434,0.0747,0.1396,0.0404
1904092S14068,0.1026,0.0938,0.0436,0.1487,0.1012,0.0594
1904100S15066,0.1064,0.1444,0.0441,0.1507,0.1679,0.0641
1904107S14119,0.1198,0.1983,0.1073,0.1375,0.2188,0.0939
1904138N14125,0.0882,0.0728,0.1136,0.0259,0.1335,0.0456
1904146N14083,0.1491,0.0371,0.0677,0.2048,0.0559,0.0924
1904162N21089,0.1993,0.2347,0.0836,0.9298,0.2763,0.0481
1904163N13280,0.0967,0.1041,0.0897,0.091,0.077,0.3195
1904179N21121,0.996,0.3515,0.996,0.2105,0.3861,0.3799
1904184N14126,0.0666,0.1246,0.062,0.0342,0.1592,0.0243
1904184N22085,0.1633,0.1104,0.1237,0.1956,0.1226,0.1498
1904187N12150,0.1176,0.1116,0.0872,0.1455,0.1629,0.1183
1904189N23089,0.1086,0.0914,0.0971,0.1312,0.1028,0.0385
1904190S33142,0.9884,0.1365,0.986,0.1394,0.1619,0.0529
1904195N22128,0.3898,0.0857,0.9082,0.0237,0.0845,0.2169
1904202N10150,0.0675,0.0168,0.0709,0.029,0.0382,0.0267
1904205N18149,0.175,0.311,0.1039,0.2215,0.3798,0.2376
1904213N21136,0.0902,0.0417,0.0535,0.1312,0.0439,0.0894
1904222N18110,0.1066,0.161,0.1088,0.0963,0.1034,0.7729
1904225N20089,0.0816,0.0987,0.0993,0.0291,0.1191,0.0445
1904228N20124,0.1494,0.126,0.1199,0.1583,0.1607,0.0797
1904232N21135,0.996,0.9973,0.996,0.5165,0.9975,0.3689
1904233N21089,0.0746,0.0941,0.0821,0.0344,0.1079,0.0294
1904235N16113,0.4162,0.2258,0.8159,0.1778,0.2736,0.0616
1904242N20132,0.996,0.9972,0.996,0.3611,0.9976,0.2662
1904248N10150,0.1358,0.4677,0.1154,0.1668,0.5425,0.2342
1904252N16306,0.0857,0.627,0.0449,0.1007,0.7139,0.1582
1904254N18086,0.0842,0.119,0.0346,0.1413,0.1399,0.049
1904257N17150,0.1592,0.4622,0.1175,0.182,0.5537,0.0833
1904257N22144,0.1175,0.8256,0.0409,0.1732,0.8379,0.5214
1904272N12280,0.0888,0.284,0.0592,0.1143,0.2425,0.5684
1904277N16138,0.1343,0.5079,0.0755,0.1709,0.5794,0.1287
1904286N15284,0.5998,0.1252,0.8099,0.3925,0.142,0.057
1904288N13085,0.1189,0.0602,0.0746,0.1492,0.0634,0.0483
1904293N26315,0.0986,0.8795,0.0609,0.1403,0.9064,0.0508
1904304N16113,0.996,0.2644,0.996,0.181,0.3318,0.1856
1904306N20269,0.0883,0.7847,0.0645,0.1027,0.8314,0.0193
1904326N13089,0.1475,0.2297,0.1187,0.1609,0.3542,0.0317
1904345S08063,0.1256,0.0977,0.1146,0.1472,0.0598,0.3573
1904346S08064,0.1244,0.0529,0.1149,0.1423,0.0541,0.053
1904346S08065,0.0983,0.0952,0.0822,0.1127,0.1033,0.041
1905011S10048,0.1071,0.0399,0.0637,0.1468,0.0503,0.0225
1905011S14070,0.1389,0.1603,0.0887,0.1743,0.1968,0.1925
1905021S09049,0.0625,0.1036,0.0527,0.0331,0.1396,0.0378
1905021S10048,0.0884,0.0343,0.0641,0.0936,0.0401,0.0331
1905021S14070,0.1639,0.131,0.0904,0.2096,0.1816,0.1045
1905021S14071,0.086,0.1875,0.0933,0.4259,0.2652,0.0837
1905043S16068,0.0973,0.0877,0.0635,0.1332,0.0934,0.042
1905052S16070,0.0547,0.1051,0.0454,0.0271,0.1119,0.0657
1905069S15053,0.1663,0.5556,0.1043,0.2105,0.6304,0.2266
1905069S15056,0.1353,0.1594,0.0862,0.161,0.1592,0.1806
1905070S14053,0.0864,0.327,0.0873,0.3145,0.4429,0.0879
1905070S14413,0.1867,0.1157,0.105,0.2476,0.1594,0.089
1905070S15057,0.0746,0.1475,0.0516,0.2384,0.1579,0.0809
1905070S15417,0.1273,0.1454,0.0798,0.1551,0.1549,0.0883
1905091S12057,0.982,0.9986,0.9786,0.9304,0.998,0.9971
1905099S13055,0.116,0.2258,0.0409,0.1664,0.2279,0.298
1905113N09150,0.13,0.1052,0.5693,0.1194,0.1423,0.1792
1905143N17129,0.1028,0.0675,0.1018,0.0997,0.0793,0.0584
1905163N23138,0.1825,0.6162,0.1234,0.2196,0.6414,0.407
1905166N18117,0.0407,0.1346,0.0306,0.0361,0.1724,0.103
1905181N19126,0.1121,0.0842,0.1047,0.1296,0.1053,0.0723
1905181N21087,0.1327,0.0681,0.0581,0.1812,0.0752,0.0605
1905186N22089,0.1933,0.2069,0.1191,0.2475,0.2813,0.0523
1905192N21090,0.0595,0.165,0.1035,0.0375,0.1919,0.0367
1905197N20134,0.1764,0.3771,0.1229,0.2081,0.3924,0.4074
1905200N17122,0.1632,0.4039,0.1182,0.1875,0.507,0.122
1905200N21089,0.1141,0.0434,0.0967,0.135,0.0192,0.2464
1905207N22118,0.1919,0.2111,0.1235,0.3027,0.2364,0.1518
1905212N21123,0.1205,0.1211,0.1131,0.1355,0.1504,0.1192
1905214N17149,0.1179,0.1002,0.0627,0.1535,0.1321,0.1944
1905223N11142,0.1246,0.1673,0.0777,0.1586,0.2699,0.0372
1905229N19116,0.0987,0.1101,0.0995,0.0852,0.1258,0.0741
1905235N10146,0.1255,0.1052,0.1148,0.1404,0.1357,0.1774
1905239N16148,0.1282,0.2269,0.0904,0.159,0.2978,0.1918
1905250N12302,0.2074,0.6791,0.1265,0.2739,0.7537,0.083
1905250N19087,0.0156,0.0474,0.0229,0.0227,0.0762,0.0578
1905255N20309,0.0865,0.1134,0.0845,0.0536,0.1118,0.1132
1905256N21125,0.1562,0.2168,0.12,0.1726,0.2859,0.1477
1905260N17125,0.1137,0.0706,0.1106,0.1258,0.0847,0.0469
1905265N13127,0.154,0.508,0.1127,0.1715,0.6113,0.0922
1905265N16087,0.1114,0.1288,0.0778,0.4625,0.1429,0.064
1905267N18276,0.0734,0.0604,0.0503,0.0854,0.0523,0.0718
1905268N11130,0.1682,0.4489,0.12,0.1978,0.5337,0.1589
1905271N22089,0.1045,0.2049,0.0654,0.1396,0.1842,0.4007
1905274N11281,0.0433,0.3796,0.0368,0.0216,0.5059,0.0079
1905278N20131,0.996,0.9852,0.996,0.2879,0.9872,0.4411
1905278N23271,0.0436,0.0883,0.0305,0.0239,0.1472,0.0211
1905295N17067,0.0797,0.2229,0.0975,0.026,0.2562,0.0543
1905296N13126,0.0857,0.075,0.1076,0.0303,0.0956,0.1606
1905296N17086,0.0848,0.0993,0.0904,0.0676,0.1078,0.0531
1905303N12133,0.0796,0.1728,0.0435,0.1227,0.1831,0.344
1905342N15092,0.1343,0.4433,0.1103,0.1766,0.452,0.4522
1905345S19053,0.163,0.1731,0.1096,0.1954,0.1691,0.3355
1905355S18054,0.5091,0.2439,0.1036,0.7643,0.2186,0.581
1905355S18414,0.0807,0.0829,0.0972,0.0253,0.0821,0.0794
1905362N17125,0.1247,0.7334,0.11,0.1418,0.7621,0.4945
1906001S14065,0.4644,0.3693,0.0741,0.7294,0.4823,0.1005
1906001S14066,0.9905,0.1409,0.9857,0.1892,0.2128,0.1042
1906009S15065,0.1272,0.203,0.0686,0.1707,0.2855,0.0875
1906015N08084,0.1262,0.1295,0.1114,0.1452,0.1256,0.1603
1906029S17147,0.8276,0.2589,0.0244,0.9228,0.2987,0.0822
1906043S17056,0.1507,0.1504,0.1136,0.1736,0.16,0.3223
1906052S17056,0.087,0.1672,0.1678,0.0311,0.2052,0.0664
1906060S14058,0.0693,0.0887,0.0506,0.054,0.0996,0.0331
1906060S15058,0.1265,0.0814,0.053,0.1679,0.0973,0.0352
1906061S16149,0.0751,0.1398,0.0848,0.029,0.1646,0.0373
1906068S15057,0.1177,0.1638,0.0535,0.1573,0.1736,0.2508
1906091S14066,0.0654,0.1401,0.0752,0.0172,0.1602,0.0508
1906091S14069,0.0483,0.1211,0.0368,0.026,0.1377,0.0471
1906099S15065,0.0735,0.1654,0.0809,0.0309,0.1575,0.2266
